State,Current_Monthly_Sales,Predicted_Monthly_Sales,Absolute_Growth,Growth_Rate_%
Gujarat,6288.0,7067.0776,779.07763671875,12.387941432958339
Bihar,8375.0,9103.95,728.9501953125,8.70284378357808
Chhattisgarh,3579.0,4132.0176,553.017578125,15.447418383379889
Andhra Pradesh,2353.0,2541.9111,188.9111328125,8.025111844201358
Punjab,2465.0,2539.0566,74.056640625,3.0031078923357666
Odisha,4444.0,4505.884,61.8837890625,1.3922112275028122
Goa,928.0,977.9808,49.98077392578125,5.380061778878498
Uttarakhand,1234.0,1251.134,17.134033203125,1.3873711095647774
Jammu And Kashmir,1034.0,1045.249,11.2490234375,1.0868621678743962
Jharkhand,1693.0,1701.9409,8.94091796875,0.5277991717089728
Mizoram,29.0,34.925045,5.925045013427734,19.750150044759117
Rajasthan,7435.0,7439.495,4.4951171875,0.06045074216648736
Tripura,507.0,511.07584,4.075836181640625,0.8023299570158712
Arunachal Pradesh,7.0,10.596985,3.59698486328125,44.962310791015625
Sikkim,0.0,1.0217296,1.021729588508606,102.1729588508606
Nagaland,0.0,1.0217296,1.021729588508606,102.1729588508606
Manipur,29.0,27.903969,-1.0960311889648438,-3.653437296549479
Andaman & Nicobar Island,3.0,0.8012898,-2.1987102031707764,-54.96775507926941
Ladakh,14.0,11.582605,-2.4173946380615234,-16.11596425374349
Meghalaya,28.0,23.846489,-4.153511047363281,-14.322451887459591
Dnh And Dd,35.0,30.292818,-4.707181930541992,-13.075505362616646
Chandigarh,553.0,545.4649,-7.53509521484375,-1.360125490043998
Himachal Pradesh,104.0,92.909805,-11.090194702148438,-10.562090192522323
Puducherry,331.0,309.68512,-21.31488037109375,-6.420144690088479
Assam,4262.0,4189.2534,-72.74658203125,-1.7064645092950974
West Bengal,2750.0,2585.296,-164.7041015625,-5.98706294302072
Madhya Pradesh,6766.0,6567.4644,-198.53564453125,-2.9338797773200826
Haryana,3595.0,3199.7927,-395.207275390625,-10.990191195512375
Kerala,7790.0,7275.1562,-514.84375,-6.608185727121037
Delhi,7067.0,6197.1367,-869.86328125,-12.307063967883417
Tamil Nadu,8715.0,7839.2725,-875.7275390625,-10.04735588644447
Karnataka,14191.0,12737.643,-1453.357421875,-10.240680819299605
Maharashtra,18745.0,16336.824,-2408.17578125,-12.846344720206979
Uttar Pradesh,27833.0,14437.533,-13395.466796875,-48.12627289241575
