feature,importance
sales_ma_3m,0.48111272
sales_ma_6m,0.37487233
sales_lag_1m,0.09219801
sales_ma_12m,0.017343964
growth_mom,0.0052176137
sales_lag_6m,0.004659409
growth_6m,0.0038770924
month_12,0.0026066995
sales_std_6m,0.002513224
month_10,0.0017496218
growth_yoy,0.001730643
sales_lag_12m,0.0014439035
months_in_market,0.0014369617
month_11,0.001252241
month_3,0.0010630589
sales_lag_3m,0.0010542877
growth_acceleration,0.00089835504
quarter_4,0.00088397326
month_7,0.00062432553
quarter_2,0.00061122375
month_5,0.0005873958
cumulative_sales,0.00053167803
month_4,0.00050354446
quarter_3,0.00033985474
month_6,0.00032922957
month_9,0.000311871
month_2,0.00017274267
market_stage_numeric,7.413055e-05
month_8,0.0
