State,Station_Count,Power (kW),EV_Sales_Quantity,Stations_per_1000_EV,kW_per_1000_EV,Charging_Gap_Score,EV_Sales_Normalized,Station_Density_Normalized,Priority
Andaman & Nicobar Island,0.0,0.0,51.0,0.0,0.0,0.40006540655732803,0.00010901092887998752,0.0,Medium
Andhra Pradesh,2.0,180.0,62246.0,0.03213057867172188,2.8917520804549692,0.4776622878176232,0.13304890743262163,0.005417641604874475,Medium
Arunachal Pradesh,0.0,0.0,30.0,0.0,0.0,0.40003847444548707,6.412407581175737e-05,0.0,Medium
Assam,0.0,0.0,105754.0,0.0,0.0,0.5356275502679317,0.2260459171132196,0.0,Medium
Bihar,0.0,0.0,152279.0,0.0,0.0,0.595295002810772,0.32549167135128665,0.0,Medium
Chandigarh,0.0,0.0,9565.0,0.0,0.0,0.4122669357027892,0.020444892837981975,0.0,Medium
Chhattisgarh,0.0,0.0,63552.0,0.0,0.0,0.4815042653197761,0.1358404421996268,0.0,Medium
Delhi,1.0,60.0,142454.0,0.007019809903547812,0.4211885942128687,0.5822211687017256,0.30449103652293613,0.0011836330300904734,Medium
Dnh And Dd,0.0,0.0,332.0,0.0,0.0,0.4004257838633901,0.0007096397723167815,0.0,Medium
Goa,0.0,0.0,15979.0,0.0,0.0,0.42049277214792147,0.0341546202465357,0.0,Medium
Gujarat,0.0,0.0,163429.0,0.0,0.0,0.6095946717167939,0.34932445286132313,0.0,High
Haryana,0.0,0.0,59844.0,0.0,0.0,0.47674882385757616,0.1279147064292936,0.0,Medium
Himachal Pradesh,0.0,0.0,2218.0,0.0,0.0,0.40284454400300956,0.0047409066716825946,0.0,Medium
Jammu And Kashmir,0.0,0.0,15444.0,0.0,0.0,0.41980664453673566,0.03301107422789269,0.0,Medium
Jharkhand,0.0,0.0,36450.0,0.0,0.0,0.44674645126677115,0.0779107521112852,0.0,Medium
Karnataka,4.0,166.0,261095.0,0.015320094218579444,0.635783910071047,0.7338162430715665,0.558082519135693,0.0025831710246233485,High
Kerala,724.0,21444.1,122076.0,5.930731675349782,175.66188276155836,0.15656021357592184,0.2609336892932031,1.0,Low
Ladakh,0.0,0.0,82.0,0.0,0.0,0.4001051634843313,0.00017527247388547014,0.0,Medium
Madhya Pradesh,1.0,60.0,110517.0,0.009048381696933503,0.5429029018160102,0.5411257388767019,0.23622668288293297,0.0015256771326448266,Medium
Maharashtra,4.0,150.0,348151.0,0.011489267587914439,0.4308475345467915,0.8457223252151019,0.7441620372646379,0.0019372428592019932,High
Manipur,0.0,0.0,769.0,0.0,0.0,0.40098622828598485,0.0016437138099747138,0.0,Medium
Meghalaya,0.0,0.0,181.0,0.0,0.0,0.40023212915443857,0.00038688192406426944,0.0,Medium
Mizoram,0.0,0.0,231.0,0.0,0.0,0.40029625323025037,0.0004937553837505317,0.0,Medium
Nagaland,0.0,0.0,9.0,0.0,0.0,0.40001154233364616,1.9237222743527208e-05,0.0,Medium
Odisha,0.0,0.0,77347.0,0.0,0.0,0.49919609783623997,0.16532682972706655,0.0,Medium
Puducherry,1.0,24.0,4443.0,0.22507314877335133,5.401755570560432,0.3905179384652208,0.009496775627721266,0.037950317278529884,Medium
Punjab,0.0,0.0,42138.0,0.0,0.0,0.45404120613111665,0.09006867688519439,0.0,Medium
Rajasthan,0.0,0.0,179351.0,0.0,0.0,0.6300143424182899,0.3833572373638165,0.0,High
Tamil Nadu,40.0,1355.0,165261.0,0.24204137697339362,8.199151644973709,0.5956196236360815,0.3532402964242278,0.04081138554613812,Medium
Telangana,1.0,60.0,0.0,0.0,0.0,0.4,0.0,0.0,Medium
Tripura,0.0,0.0,10989.0,0.0,0.0,0.41409318938190803,0.023488648969846725,0.0,Medium
Uttar Pradesh,3.0,46.4,467843.0,0.006412407581175736,0.09917857058885139,0.999567513222166,1.0,0.0010812169445850955,High
Uttarakhand,0.0,0.0,33588.0,0.0,0.0,0.4430759891673062,0.07179331527884354,0.0,Medium
West Bengal,5.0,183.2,35202.0,0.14203738423953186,5.204249758536447,0.4355661597939433,0.07524319055751609,0.02394938635141587,Medium
