State,Total_EV_Sales,Recent_Sales_2023_24,Growth_Rate_%,Total_Stations,Total_Capacity_kW,Cities_Covered,Avg_Power_per_Station,Fast_Charging_Stations,EVs_per_Station,Station_Density_per_1000_EVs,Has_Infrastructure,EV_Sales_Normalized,Station_Density_Normalized,Priority_Score,Recommendation_Tier,Interpretation,Recommended_New_Stations
Uttar Pradesh,467843.0,305018.0,-89.96154317914528,3.0,46.4,2.0,15.466666666666667,2.0,155947.66666666666,0.006412407581175736,1,0.9999999999999998,0.8695044477404437,0.9478017790961774,HIGH - Priority Investment,"Urgent: High demand, low infrastructure",152
Maharashtra,348151.0,212139.0,-90.36527509328262,4.0,150.0,4.0,37.5,4.0,87037.75,0.011489267587914439,1,0.7441571155580825,0.4852669759454004,0.6406010597130096,HIGH - Priority Investment,"Urgent: High demand, low infrastructure",112
Rajasthan,179351.0,101113.0,-92.08529440015369,0.0,0.0,0.0,0.0,0.0,179351.0,0.0,0,0.3833453746414326,1.0000000000000002,0.6300072247848597,HIGH - Priority Investment,"Urgent: High demand, low infrastructure",59
Gujarat,163429.0,94492.0,-92.88823396055315,0.0,0.0,0.0,0.0,0.0,163429.0,0.0,0,0.34931193543008837,0.9112199038708166,0.5740751228063797,MEDIUM - Strategic Development,Moderate: Balanced growth needed,54
Bihar,152279.0,96541.0,-90.50605634441773,0.0,0.0,0.0,0.0,0.0,152279.0,0.0,0,0.3254786954347054,0.8490481872623256,0.5349064921657535,MEDIUM - Strategic Development,Moderate: Balanced growth needed,50
Delhi,142454.0,80194.0,-90.39021390008884,1.0,60.0,1.0,60.0,1.0,142454.0,0.007019809903547812,1,0.30447765660469306,0.7942645894436329,0.500392429740269,MEDIUM - Strategic Development,Moderate: Balanced growth needed,46
Karnataka,261095.0,165179.0,-90.6201991841924,4.0,166.0,2.0,41.5,3.0,65273.75,0.015320094218579444,1,0.5580740177071354,0.3639122458765933,0.4804093089749185,MEDIUM - Strategic Development,Moderate: Balanced growth needed,83
Madhya Pradesh,110517.0,73720.0,-89.95730960981581,1.0,60.0,1.0,60.0,1.0,110517.0,0.009048381696933503,1,0.2362119897228504,0.6161858348853029,0.3882015277878314,MEDIUM - Strategic Development,Moderate: Balanced growth needed,35
Assam,105754.0,65041.0,-92.9914614283599,0.0,0.0,0.0,0.0,0.0,105754.0,0.0,0,0.22603102809971057,0.5896276388129942,0.37146967238502404,MEDIUM - Strategic Development,Moderate: Balanced growth needed,35
Odisha,77347.0,48905.0,-90.03979584954021,0.0,0.0,0.0,0.0,0.0,77347.0,0.0,0,0.1653107726244779,0.4312319478984287,0.27167924273405825,LOW - Monitor & Plan,Stable: Adequate infrastructure,25
Chhattisgarh,63552.0,41190.0,-90.49340706082518,0.0,0.0,0.0,0.0,0.0,63552.0,0.0,0,0.13582381784992112,0.3543118734038876,0.22321904007150772,LOW - Monitor & Plan,Stable: Adequate infrastructure,21
Tamil Nadu,165261.0,98488.0,-90.39617182283553,41.0,1355.0,26.0,33.048780487804876,33.0,4030.756097560976,0.24809241139772845,1,0.3532278543243971,0.022425065503679988,0.22090673879611022,LOW - Monitor & Plan,Stable: Adequate infrastructure,14
Haryana,59844.0,33994.0,-88.20782637290365,0.0,0.0,0.0,0.0,0.0,59844.0,0.0,0,0.12789792960751034,0.333636292669871,0.2101932748324546,LOW - Monitor & Plan,Stable: Adequate infrastructure,19
Kerala,122076.0,82411.0,-89.61115501560471,725.0,21444.1,241.0,29.57806896551724,488.0,168.3806896551724,5.9389232936859,1,0.2609194714364496,0.0008886969569602904,0.15690716164465388,LOW - Monitor & Plan,Stable: Adequate infrastructure,0
Andhra Pradesh,62246.0,33562.0,-92.45754565844281,2.0,180.0,1.0,90.0,2.0,31123.0,0.03213057867172188,1,0.13303222938050677,0.17348975700059105,0.14921524042854048,LOW - Monitor & Plan,Stable: Adequate infrastructure,18
Punjab,42138.0,28103.0,-90.42030567685589,0.0,0.0,0.0,0.0,0.0,42138.0,0.0,0,0.09005117199690488,0.23490872188332906,0.14799419195147456,LOW - Monitor & Plan,Stable: Adequate infrastructure,14
Jharkhand,36450.0,22769.0,-91.97817836812145,0.0,0.0,0.0,0.0,0.0,36450.0,0.0,0,0.07789301333378933,0.20319278250493472,0.12801292100224748,LOW - Monitor & Plan,Stable: Adequate infrastructure,12
Uttarakhand,33588.0,18027.0,-92.64618316065261,0.0,0.0,0.0,0.0,0.0,33588.0,0.0,0,0.07177545881658878,0.18723444591897048,0.11795905365754146,LOW - Monitor & Plan,Stable: Adequate infrastructure,11
West Bengal,35202.0,24062.0,-87.11886668543015,5.0,183.2,4.0,36.64,4.0,7040.4,0.14203738423953186,1,0.07522540046255723,0.0392066554404434,0.0608179024537117,LOW - Monitor & Plan,Stable: Adequate infrastructure,6
Goa,15979.0,10308.0,-90.09700458373308,0.0,0.0,0.0,0.0,0.0,15979.0,0.0,0,0.03413603970639158,0.08904774118722887,0.056100720298726495,LOW - Monitor & Plan,Stable: Adequate infrastructure,5
Jammu And Kashmir,15444.0,10754.0,-89.35294722765148,0.0,0.0,0.0,0.0,0.0,15444.0,0.0,0,0.03299247168867589,0.08606461397776316,0.054221328604310795,LOW - Monitor & Plan,Stable: Adequate infrastructure,5
Tripura,10989.0,6818.0,-91.95183776932826,0.0,0.0,0.0,0.0,0.0,10989.0,0.0,0,0.023469863242090144,0.061223807027913156,0.03857144075641935,LOW - Monitor & Plan,Stable: Adequate infrastructure,3
Chandigarh,9565.0,6846.0,-91.42222926906611,0.0,0.0,0.0,0.0,0.0,9565.0,0.0,0,0.020426048555684282,0.053283670305896,0.033569097255768975,LOW - Monitor & Plan,Stable: Adequate infrastructure,3
Puducherry,4443.0,2964.0,-87.3955960516325,1.0,24.0,1.0,24.0,1.0,4443.0,0.22507314877335133,1,0.00947772073000252,0.024723712236955093,0.01557611733278355,LOW - Monitor & Plan,Stable: Adequate infrastructure,0
Himachal Pradesh,2218.0,1212.0,-91.02333931777379,0.0,0.0,0.0,0.0,0.0,2218.0,0.0,0,0.004721760282493363,0.012317248608803292,0.0077599556130173355,LOW - Monitor & Plan,Stable: Adequate infrastructure,0
Manipur,769.0,428.0,-92.5,0.0,0.0,0.0,0.0,0.0,769.0,0.0,0,0.0016245078382503195,0.004237713419054098,0.0026697900705718305,LOW - Monitor & Plan,Stable: Adequate infrastructure,0
Dnh And Dd,332.0,194.0,-77.5,0.0,0.0,0.0,0.0,0.0,332.0,0.0,0,0.0006904158312563858,0.0018010282030979916,0.001134660779993028,LOW - Monitor & Plan,Stable: Adequate infrastructure,0
Mizoram,231.0,195.0,-82.03592814371258,0.0,0.0,0.0,0.0,0.0,231.0,0.0,0,0.0004745272895941722,0.001237858393460539,0.0007798597311407189,LOW - Monitor & Plan,Stable: Adequate infrastructure,0
Meghalaya,181.0,139.0,-74.10714285714286,0.0,0.0,0.0,0.0,0.0,181.0,0.0,0,0.00036765177391980913,0.0009590614579964538,0.000604215647550467,LOW - Monitor & Plan,Stable: Adequate infrastructure,0
Ladakh,82.0,42.0,-48.275862068965516,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0,0.00015603825288457014,0.0004070435257775647,0.00025644036204176796,LOW - Monitor & Plan,Stable: Adequate infrastructure,0
Andaman & Nicobar Island,51.0,28.0,-88.88888888888889,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0,8.977543316646502e-05,0.00023418942578983177,0.00014754103021581173,LOW - Monitor & Plan,Stable: Adequate infrastructure,0
Arunachal Pradesh,30.0,28.0,-63.63636363636363,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0,4.488771658323251e-05,0.00011709471289491587,7.377051510790585e-05,LOW - Monitor & Plan,Stable: Adequate infrastructure,0
Nagaland,9.0,6.0,75.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0,0.0,0.0,0.0,,Stable: Adequate infrastructure,0
