State,Station_Count,EV_Sales_Quantity,Stations_per_1000_EV,EV_Sales_Normalized,Station_Density_Normalized,Charging_Gap_Score,Priority,Interpretation
Uttar Pradesh,3.0,467843.0,0.006412407581175736,1.0,0.0010812169445850955,0.999567513222166,High,"Urgent: High demand, low infrastructure"
Maharashtra,4.0,348151.0,0.011489267587914439,0.7441620372646379,0.0019372428592019932,0.8457223252151019,High,"Urgent: High demand, low infrastructure"
Karnataka,4.0,261095.0,0.015320094218579444,0.558082519135693,0.0025831710246233485,0.7338162430715665,High,"Urgent: High demand, low infrastructure"
Rajasthan,0.0,179351.0,0.0,0.3833572373638165,0.0,0.6300143424182899,High,"Urgent: High demand, low infrastructure"
Gujarat,0.0,163429.0,0.0,0.34932445286132313,0.0,0.6095946717167939,High,"Urgent: High demand, low infrastructure"
Tamil Nadu,40.0,165261.0,0.24204137697339362,0.3532402964242278,0.04081138554613812,0.5956196236360815,Medium,Moderate: Balanced growth needed
Bihar,0.0,152279.0,0.0,0.32549167135128665,0.0,0.595295002810772,Medium,Moderate: Balanced growth needed
Delhi,1.0,142454.0,0.007019809903547812,0.30449103652293613,0.0011836330300904734,0.5822211687017256,Medium,Moderate: Balanced growth needed
Madhya Pradesh,1.0,110517.0,0.009048381696933503,0.23622668288293297,0.0015256771326448266,0.5411257388767019,Medium,Moderate: Balanced growth needed
Assam,0.0,105754.0,0.0,0.2260459171132196,0.0,0.5356275502679317,Medium,Moderate: Balanced growth needed
Odisha,0.0,77347.0,0.0,0.16532682972706655,0.0,0.49919609783623997,Medium,Moderate: Balanced growth needed
Chhattisgarh,0.0,63552.0,0.0,0.1358404421996268,0.0,0.4815042653197761,Medium,Moderate: Balanced growth needed
Andhra Pradesh,2.0,62246.0,0.03213057867172188,0.13304890743262163,0.005417641604874475,0.4776622878176232,Medium,Moderate: Balanced growth needed
Haryana,0.0,59844.0,0.0,0.1279147064292936,0.0,0.47674882385757616,Medium,Moderate: Balanced growth needed
Punjab,0.0,42138.0,0.0,0.09006867688519439,0.0,0.45404120613111665,Medium,Moderate: Balanced growth needed
Jharkhand,0.0,36450.0,0.0,0.0779107521112852,0.0,0.44674645126677115,Medium,Moderate: Balanced growth needed
Uttarakhand,0.0,33588.0,0.0,0.07179331527884354,0.0,0.4430759891673062,Medium,Moderate: Balanced growth needed
West Bengal,5.0,35202.0,0.14203738423953186,0.07524319055751609,0.02394938635141587,0.4355661597939433,Medium,Moderate: Balanced growth needed
Goa,0.0,15979.0,0.0,0.0341546202465357,0.0,0.42049277214792147,Medium,Moderate: Balanced growth needed
Jammu And Kashmir,0.0,15444.0,0.0,0.03301107422789269,0.0,0.41980664453673566,Medium,Moderate: Balanced growth needed
Tripura,0.0,10989.0,0.0,0.023488648969846725,0.0,0.41409318938190803,Medium,Moderate: Balanced growth needed
Chandigarh,0.0,9565.0,0.0,0.020444892837981975,0.0,0.4122669357027892,Medium,Moderate: Balanced growth needed
Himachal Pradesh,0.0,2218.0,0.0,0.0047409066716825946,0.0,0.40284454400300956,Medium,Moderate: Balanced growth needed
Manipur,0.0,769.0,0.0,0.0016437138099747138,0.0,0.40098622828598485,Medium,Moderate: Balanced growth needed
Dnh And Dd,0.0,332.0,0.0,0.0007096397723167815,0.0,0.4004257838633901,Medium,Moderate: Balanced growth needed
Mizoram,0.0,231.0,0.0,0.0004937553837505317,0.0,0.40029625323025037,Medium,Moderate: Balanced growth needed
Meghalaya,0.0,181.0,0.0,0.00038688192406426944,0.0,0.40023212915443857,Medium,Moderate: Balanced growth needed
Ladakh,0.0,82.0,0.0,0.00017527247388547014,0.0,0.4001051634843313,Medium,Moderate: Balanced growth needed
Andaman & Nicobar Island,0.0,51.0,0.0,0.00010901092887998752,0.0,0.40006540655732803,Medium,Moderate: Balanced growth needed
Arunachal Pradesh,0.0,30.0,0.0,6.412407581175737e-05,0.0,0.40003847444548707,Medium,Moderate: Balanced growth needed
Nagaland,0.0,9.0,0.0,1.9237222743527208e-05,0.0,0.40001154233364616,Medium,Moderate: Balanced growth needed
Telangana,1.0,0.0,0.0,0.0,0.0,0.4,Medium,Moderate: Balanced growth needed
Puducherry,1.0,4443.0,0.22507314877335133,0.009496775627721266,0.037950317278529884,0.3905179384652208,Medium,Moderate: Balanced growth needed
Kerala,724.0,122076.0,5.930731675349782,0.2609336892932031,1.0,0.15656021357592184,Low,Adequate: Well-served or low demand
